1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
680\Trick or Treatment\5\12\0, 500\0, 2000\Increase NP Gain by 25%; Increase Critical Strength by 15%; Increase Beam Cookie drop amount by 1 [Halloween 3]\Increase NP Gain by 30%; Increase Critical Strength by 20%; Increase Beam Cookie drop amount by 2 [Halloween 3]\-\ReDrop\\\Halloween Strike! Evil Build Climber / Great Battle at Himeji Castle
681\Phantom Night\4\9\320, 200\1200, 750\Increase Buster Card effectiveness by 10%; Increase NP Gain by 5%; Increase Missile Ramune drop amount by 1 [Halloween 3]\Increase Buster Card effectiveness by 15%; Increase NP Gain by 10%; Increase Missile Ramune drop amount by 2 [Halloween 3]\-\Kazuki Yone\\\Halloween Strike! Evil Build Climber / Great Battle at Himeji Castle
682\From Wonderland\3\5\160, 100\800, 500\Increase Quick Card effectiveness by 4%; Increase Buster Card effectiveness by 4%; Increase Drill Gummy drop amount by 1 [Halloween 3]\Increase Quick Card effectiveness by 6%; Increase Buster Card effectiveness by 6%; Increase Drill Gummy drop amount by 2 [Halloween 3]\-\Chocoan\\\Halloween Strike! Evil Build Climber / Great Battle at Himeji Castle
683\Aerial Drive\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 8%; Increase NP Strength by 8%; Increase NP Gauge by 30% at the start of battle; Increase [Knight], [Gazer], [Mass-Production Model] appearance rate by 25% [Halloween 3]\Increase Buster Card effectiveness by 10%; Increase NP Strength by 10%; Increase NP Gauge by 50% at the start of battle; Increase [Knight], [Gazer], [Mass-Production Model] appearance rate by 100% [Halloween 3]\-\Nidy-2D-\\\Halloween Strike! Evil Build Climber / Great Battle at Himeji Castle
684\Golden Wings\4\9\320, 200\1200, 750\Increase NP Strength by 20%; Increase NP Gain by 5%; Increase [Drones], [Homunculus], [Automata] appearance rate by 25% [Halloween 3]\Increase NP Strength by 25%; Increase NP Gain by 10%; Increase [Drones], [Homunculus], [Automata] appearance rate by 100% [Halloween 3]\-\Usuba Kagero\\\Halloween Strike! Evil Build Climber / Great Battle at Himeji Castle
685\Nostalgic Form\3\5\300, 0\1500, 0\Increase DEF by 3%; Increase Buster Card effectiveness by 3%; Increase [Skeleton] and [Scarecrow] appearance rate by 25% [Halloween 3]\Increase DEF by 5%; Increase Buster Card effectiveness by 5%; Increase [Skeleton] and [Scarecrow] appearance rate by 100% [Halloween 3]\-\Shimizu Eiichi x Shimoguchi Tomohiro\\\Halloween Strike! Evil Build Climber / Great Battle at Himeji Castle
686\Origami of the Princess\4\9\100, 100\100, 100\When equipped to Osakabe-hime (Assassin) only. Increase NP Gain of all allies by 15% while she's on the field\\-\\\
687\Electrogica Diagram\4\9\100, 100\100, 100\When equipped to Mecha Eli-chan (Alterego) only. Increase Buster Card effectiveness of all allies by 20%, but decrease Debuff Resist by 20% [Demerit] while she's on the field\\-\\\
688\Guardian Gigantic\4\9\100, 100\100, 100\When equipped to Mecha Eli-chan Mk.II (Alterego) only. Increase Buster Card effectiveness of all allies by 20%, but decrease Debuff Resist by 20% [Demerit] while she's on the field\\-\\\
689\Prayer for a Sword, Wish for a Life\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Yamada Yuukei\\\Fate/Apocrypha Anime Commemoration Campaign
690\FGO VR Mash Kyrielight\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Takeuchi Takashi\\\Fate/Grand Order VR Campaign
691\Soul Consumption\3\5\0, 200\0, 1000\Increase NP Strength by 15% when equipped to a [Caster] class\Increase NP Strength by 25% when equipped to a [Caster] class\-\\\
692\Banquet of the Falcon Witch\4\9\100, 100\100, 100\When equipped to Okeanos Caster (Caster) only. Increase NP Gain and NP Strength of all allies by 10% while she's on the field\\-\Sakuma Mitsuro\\
693\Universe Ring\4\9\100, 100\100, 100\When equipped to Nehza (Lancer) only. Increase Quick Card effectiveness and NP Strength of all allies by 10% while she's on the field\\-\\\
694\Tribute to King Solomon\4\9\100, 100\100, 100\When equipped to Midrash Caster (Caster) only. Increase Arts Card and Buster Card effectiveness by 10% while she's on the field\\-\\\
695\Rosary of the Silver Key\4\9\100, 100\100, 100\When equipped to Abigail Williams (Foreigner) only. Increase own NP Strength by 30%; Apply Death Immune (3 times)\\-\\\
696\Starry Nights\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 10%; Increase Critical Strength by 10%; Increase NP Gauge by 40% at the start of battle; Increase Snow Baby drop amount by 1 [Christmas 3]\Increase Buster Card effectiveness by 15%; Increase Critical Strength by 15%; Increase NP Gauge by 50% at the start of battle; Increase Snow Baby drop amount by 2 [Christmas 3]\-\Tabata Hisayuki\\\Merry Christmas in the Netherworld
697\Party Time\4\9\320, 200\1200, 750\Increase Quick Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Increase Critical Strength by 5%; Increase Corpse Bell drop amount by 1 [Christmas 3]\Increase Quick Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase Critical Strength by 10%; Increase Corpse Bell drop amount by 2 [Christmas 3]\-\Gin\\\Merry Christmas in the Netherworld
698\Snow Pirates\3\5\300, 0\1500, 0\Apply Evade (1 time); Gain 1 Critical Stars per turn; Increase Hollow Candle drop amount by 1 [Christmas 3]\Apply Evade (1 time); Gain 2 Critical Stars per turn; Increase Hollow Candle drop amount by 2 [Christmas 3]\-\\\\Merry Christmas in the Netherworld
699\Merry Sheep\5\12\0, 500\0, 2000\Increase Quick Card effectiveness by 8%; Increase Arts Card effectiveness by 8%; Gain 3 Critical Stars per turn; Increase Sands of the Netherworld drop amount by 1 [Christmas 3]\Increase Quick Card effectiveness by 10%; Increase Arts Card effectiveness by 10%; Gain 4 Critical Stars per turn; Increase Sands of the Netherworld drop amount by 2 [Christmas 3]\-\ERIMO\\\Merry Christmas in the Netherworld
700\Flowers Blooming in the Netherworld\4\9\100, 100\100, 100\When equipped to Ereshkigal (Lancer) only. Increase Buster Card effectiveness and NP Strength of all allies by 10% while she's on the field\\-\Kamikokuryou Haruka\\
701\Rainbow Running in the Night Sky\4\9\100, 100\100, 100\When equipped to Altera the Sun [Ta] (Archer) only. Increase Quick Card effectiveness of all allies by 10% and Critical Strength by 15% while she's on the field\\-\\\
702\MOONLIGHT/LOSTROOM\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Nagasaku Tomokatsu\\\Episode 2 Prologue Campaign
703\Himuro's Universe ~The Strongest of the 7 Exceptional Figures Arc~\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Nagamori Masato\\\Episode 2 Prologue Campaign
704\New Beginning\5\12\400, 250\1600, 1000\Increase Arts Card effectiveness by 10%; Increase Critical Strength by 10%; Increase NP Gauge by 40% at the start of battle\Increase Arts Card effectiveness by 15%; Increase Critical Strength by 15%; Increase NP Gauge by 50% at the start of battle\-\Nozaki Tsubata\\\New Year 2018
705\Avalon Celebration\4\9\320, 200\1200, 750\Increase Critical Star Gather Rate by 300%; Increase NP Gain by 10%\Increase Critical Star Gather Rate by 400%; Increase NP Gain by 15%\-\NOCO\\\New Year 2018
706\Happiness from a Tepid Puppy\3\5\300, 0\1500, 0\Increase QP from clearing quests by 2018\Increase QP from clearing quests by 2018; Apply Damage Cut 18\-\Riyo\\\New Year 2018
707\Even the Blossoming Flowers\4\9\2018, 0\2018, 0\Increase NP Gauge by 1% per turn\\-\\\\New Year 2018 Campaign
708\Cosmic Dog\4\9\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 30,000 when used as synthesis material.\\-\Riyo\EXPCard\\New Year 2018 Mana Prism Exchange Limited Item
709\The Dragon of Smoke Escaping from Mt. Fuji\4\9\100, 100\100, 100\When equipped to Katsushika Hokusai (Foreigner) only. Increase own NP Strength by 30%; Apply Guts (1 time, 20% HP)\\-\Sakuma Mitsuro\\
710\Comicalize Project\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Shiramine & Kawaguchi Takeshi\\\"Mortalis:Stella" and "Turas Realta" Comics Release Campaign
711\Demons in Clothing\5\12\0, 500\0, 2000\Increase Critical Strength by 10%; Increase Critical Star Drop Rate by 10%; Increase NP Gauge by 30% at the start of battle; Increase ATK Strength by 100%\Increase Critical Strength by 15%; Increase Critical Star Drop Rate by 15%; Increase NP Gauge by 50% at the start of battle; Increase ATK Strength by 200%\-\ShakaP (DELiGHTWORKS)\\\Setsubun Drinking Banquet Picture Scroll: Kiraku Hundred-Story Pagoda
712\Fate/EXTRA\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Takiyama Masaaki & Yamamura Hiroki\\\Fate/EXTRA Last Encore Anime Broadcast Commemoration Campaign
713\Pharaoh Chocolatl\5\9\0, 500\0, 2000\Increase Buster Card effectiveness by 10%; Increase NP Strength by 10%; Increase NP Gain by 15%; Increase Coo Coo Cacao drops by 1 [Valentines 3]\Increase Buster Card effectiveness by 15%; Increase NP Strength by 15%; Increase NP Gain by 20%; Increase Coo Coo Cacao drops by 2 [Valentines 3]\-\Hoshino Lily\\\Valentine's 2018 ~Prosperous Chocolate Gardens of Valentine~
714\First Valentine\4\9\320, 200\1200, 750\Increase Quick Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Increase NP Strength by 5%; Increase Mystic Milk drops by 1 [Valentines 3]\Increase Quick Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase NP Strength by 10%; Increase Mystic Milk drops by 2 [Valentines 3]\-\Kibadori Rue\\\Valentine's 2018 ~Prosperous Chocolate Gardens of Valentine~
715\Witch's Kitchen\3\9\300, 0\1500, 0\Increase Arts Card effectiveness by 3%; Increase NP Gain by 5%; Increase Fancy Sugar drops by 1 [Valentines 3]\Increase Arts Card effectiveness by 5%; Increase NP Gain by 10%; Increase Fancy Sugar drops by 2 [Valentines 3]\-\Souji Hougu\\\Valentine's 2018 ~Prosperous Chocolate Gardens of Valentine~
716\Sweet Days\5\9\400, 250\1600, 1000\Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Gain 3 Critical Stars per turn; Increase Fer Flavor drops by 2 [Valentines 3]\Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Gain 4 Critical Stars per turn; Increase Fer Flavor drops by 3 [Valentines 3]\-\Bob\\\Valentine's 2018 ~Prosperous Chocolate Gardens of Valentine~
717\Ambiguous Wine\4\9\100, 100\100, 100\When equipped to Semiramis (Assassin) only. Increase Buster Card effectiveness and NP Strength of all allies by 10% while she's on the field\\-\Tatsuyo\\
718\Evil Scriptures\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Tsushima.\\
719\Rescue Wire\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
720\A Fast Ride\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Katou Taira\\
721\Meteor Folding Fans\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\\\
722\Macaroni Gratin\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\\\
723\Vice-Commander's Carefully Prepared Medicine\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
724\Sweet Red Bean Soup of the Sun\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Take\\
725\Sweet Tales\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
726\High-Class Vase Choco\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
727\Choco Balls Adorned with Spikes\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Aomidori\\
728\Standing Boiled Egg\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Binsuke\\
729\Melty Heart\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
730\Sessyoin Sweet-Covered Riceballs\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Tawawa Minoru\\
731\P Pudding a la Mode\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
732\Sweet Devil Slots\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\\\
733\Premium Snack\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
734\A Study in Scarlet\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\M・S\\
735\Favorite Pancake\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\wogura\\
736\Beautiful Emperor Choco\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
737\Triumphal Arch of Ishtar Rice Crackers\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Aomidori\\
738\Heroic Spirit Stick Choco\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\wogura\\
739\Steam Electric Choco\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Ichihashi Makoto\\
740\Choco-Mint Cool Bullet\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
741\Burning Inevitable Choco\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Ichihashi Makoto\\
742\Finest Mixed-Choco Tart\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
743\Chocolate\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Eihi\\
744\Vegetarian Cuisine\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\asaro\\
745\Excellent Sweet Demon Manju: Revised\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
746\Western-Style Red Bean Soup\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
747\Sweet Chestnut Chocolate\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
748\Ancient Maple Bridge\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Katou Taira\\
749\Nandi Choco (1/1 Scale)\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
750\Is Ordinary Bad?\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
751\Receiver\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
752\Seatbelt\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
753\Choco Key\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
754\Pink Piglet\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Take\\
755\Moderation, Lies, and Bittersweet\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Aomidori\\
756\Lotus Flower to Love Everyone\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
757\Holy Night White Cake\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
758\Sweet Home in the Netherworld\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
759\Choco Choco Octopus\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
760\Chocolates of Treachery\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Katou Taira\\
761\Stranger Almond\4\3\0, 0\0, 0\No Effect; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
762\Rain of Summer\4\9\100, 100\100, 100\When equipped to Asagami Fujino (Archer) only. Increase Arts and Buster Card effectiveness of all allies by 10% while she's on the field\\-\Tamashiro Kenji\\
763\Grand Thanksgiving of Pharaohs in Winter\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Azusa\\\FGO Winter Fest 2017-2018 Campaign
764\Star of Camelot\5\12\0, 500\0, 2000\Increase Critical Star Gather Rate by 400%; Gain 3 Critical Stars per turn\Increase Critical Star Gather Rate by 600%; Gain 4 Critical Stars per turn\-\Takarai Rihito\\\Chaldea Boys Collection 2018
765\The Dantes Files: The Case of Foreign Infiltration\5\12\400, 250\1600, 1000\Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase NP Gain by 10%\Increase Arts Card effectiveness by 15%; Increase Buster Card effectiveness by 15%; Increase NP Gain by 15%\-\Kazuki Yone\\\Chaldea Boys Collection 2018
766\Gateau au Chocolat\4\9\600, 0\2250, 0\Increase Buster Card effectiveness by 8%; Increase NP Strength by 10%; Increase Critical Strength by 10%\Increase Buster Card effectiveness by 10%; Increase NP Strength by 15%; Increase Critical Strength by 15%\-\Hanamura Mai\\\Chaldea Boys Collection 2018
767\Golden and Solar Gambling Masters\4\9\0, 400\0, 1500\Increase NP Gauge by 3% per turn; Increase NP Gain by 5%; Increase NP Strength by 5%\Increase NP Gauge by 4% per turn; Increase NP Gain by 10%; Increase NP Strength by 10%\-\Sata\\\Chaldea Boys Collection 2018
768\Chaldea Special Investigations Unit\4\9\320, 200\1200, 750\Apply Sure Hit; Increase Arts Card effectiveness by 5%; Increase Buster Card effectiveness by 5%\Apply Sure Hit; Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%\-\Komiya Kuniharu\\\Chaldea Boys Collection 2018
769\Welcome Diner\3\5\160, 100\800, 500\Gain 1 Critical Star per turn; Increase Critical Star Drop Rate by 3%; Increase Critical Strength by 3%; Increase Critical Star Gather Rate by 30%\Gain 2 Critical Star per turn; Increase Critical Star Drop Rate by 5%; Increase Critical Strength by 5%; Increase Critical Star Gather Rate by 50%\-\\\\Chaldea Boys Collection 2018
770\Musketeers\3\5\0, 200\0, 1000\Increase Quick Card effectiveness by 2%; Increase Arts Card effectiveness by 2%; Increase Buster Card effectiveness by 2%; Increase Critical Star Drop Rate by 5%\Increase Quick Card effectiveness by 3%; Increase Arts Card effectiveness by 3%; Increase Buster Card effectiveness by 3%; Increase Critical Star Drop Rate by 10%\-\Teita\\\Chaldea Boys Collection 2018
771\You After the Rain\3\5\300, 0\1500, 0\Apply Evade (1 time); Restore 50 HP per turn\Apply Evade (1 time); Restore 100 HP per turn\-\TCB\\\Chaldea Boys Collection 2018
772\Faraway Spring\4\9\100, 100\100, 100\Restore 42 HP per turn\\-\Riyo\\\April Fools 2018
